Trial,e1,e2,e3,a01_sw,a01_lvl,a02_sw,a02_lvl,a03_sw,a03_lvl,a04_sw,a04_lvl,a05_sw,a05_lvl,a06_sw,a06_lvl,a07_sw,a07_lvl,a08_sw,a08_lvl,a09_sw,a09_lvl,a10_sw,a10_lvl,a11_sw,a11_lvl,a12_sw,a12_lvl,a13_sw,a13_lvl,a14_sw,a14_lvl,a15_sw,a15_lvl,a16_sw,a16_lvl,a17_sw,a17_lvl,a18_sw,a18_lvl,a19_sw,a19_lvl,a20_sw,a20_lvl,a21_sw,a21_lvl,a22_sw,a22_lvl,t90,I_max,tail_pct,valid
1,0.6,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,107.8728838,99.90570229,TRUE
1,0.428571429,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,107.4344333,100,TRUE
1,0.306122449,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,91.50502152,100,TRUE
1,0.218658892,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,93.52969871,100,TRUE
1,0.156184923,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,78.923099,100,TRUE
1,0.111560659,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75.55035868,99.65570676,TRUE
1,0.079686185,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,72.12926829,100,TRUE
1,0.056918704,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,67.82381636,99.84198235,TRUE
1,0.040656217,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,61.01090387,99.81093297,TRUE
1,0.029040155,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,58.57030129,99.61247811,TRUE
1,0.020742968,5.00E-05,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,51.96355811,98.85914972,TRUE
