sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,roi_sd_q25,roi_sd_q50,roi_sd_q75,n_repeats,auc_mean_std
H2O2,"[1,0]",0.26785714285714285,0.006075,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440373659133911,0.9216689169406891,1.1883316040039062,1,
H2O2,"[1,1]",0.26785714285714285,0.004339285714285714,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6509911417961121,0.9614638388156891,1.2376526594161987,1,
H2O2,"[1,2]",0.26785714285714285,0.003099489795918367,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6793211996555328,0.8741415143013,1.1572549641132355,1,
H2O2,"[1,3]",0.26785714285714285,0.002213921282798834,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8562123626470566,1.0478419661521912,1.206641048192978,1,
H2O2,"[1,4]",0.26785714285714285,0.0015813723448563101,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001594709980129719,0.897347554564476,1.0953773856163025,1.48060941696167,1,
H2O2,"[1,5]",0.26785714285714285,0.0011295516748973645,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985753133893013,1.1766694784164429,1.4177208542823792,1,
H2O2,"[1,6]",0.26785714285714285,0.000806822624926689,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008317799327344517,0.7984282076358795,1.104602575302124,1.3555801510810852,1,
H2O2,"[1,7]",0.26785714285714285,0.000576301874947635,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003131307114012901,0.8874541968107224,1.1027762293815613,1.4039298593997955,1,
H2O2,"[1,8]",0.26785714285714285,0.00041164419639116794,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015105384670985269,0.9025965929031372,1.1527252197265625,1.3635595738887787,1,
H2O2,"[1,9]",0.26785714285714285,0.00029403156885083427,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029967927408652416,0.9354556500911713,1.2492653727531433,1.4686304330825806,1,
